ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-27 09:00:00+00:00,20.921,3,2.8164816550615073,59.14234155825198,,,0,0,0,0.0,
2025-02-27 10:00:00+00:00,21.079,3,2.8898889930369043,60.68039333457807,,,0,0,0,0.0,
2025-02-27 11:00:00+00:00,20.734,3,2.9339333958221427,55.7457482451262,,,0,0,0,0.0,
2025-02-27 12:00:00+00:00,20.469,3,2.960360037493286,52.23211362152601,,,0,0,0,0.0,
2025-02-27 13:00:00+00:00,20.372,3,2.9762160224959717,50.965820030260446,,,0,0,0,0.0,
2025-02-27 14:00:00+00:00,20.089,2,2.585729613497583,47.358426997607,,,0,0,0,0.0,
2025-02-27 15:00:00+00:00,20.423,3,2.75143776809855,51.703295695950416,,,0,0,0,0.0,
2025-02-27 16:00:00+00:00,20.005,3,2.85086266085913,46.52755480775873,,,0,0,0,0.0,
2025-02-27 17:00:00+00:00,20.27,3,2.910517596515478,49.94834926723869,,,0,0,0,0.0,
2025-02-27 18:00:00+00:00,20.381,3,2.9463105579092868,51.35220313007419,,,0,0,0,0.0,
2025-02-27 19:00:00+00:00,20.176,3,2.967786334745572,48.63887342828044,,,0,0,0,0.0,
